Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000078974,Sec61g,0.051668922553182894,1.7286416742479105e-10,1.5484330188807192e-08,3812,0.7138863030326115,821
ENSMUSG00000074447,Defa21,0.05139885249597284,2.0613732942820207e-10,1.8369598717292563e-08,3598,0.7552254999285267,768
ENSMUSG00000068452,Duox2,0.051330790038889795,2.122877429400205e-10,1.882066923049782e-08,3324,0.6469234907902711,779
ENSMUSG00000027422,Rrbp1,0.05128922743525927,2.3742585675279315e-10,2.0835625439300954e-08,4329,0.9419647181824048,869
ENSMUSG00000032330,Cox7a2,0.05128750877030157,2.3332247245377857e-10,2.0579994407045532e-08,4170,0.8489958078827781,856
ENSMUSG00000090659,Zfp493,0.05115772681950313,0.0,0.0,4,0.00032700827426223987,4
ENSMUSG00000020447,Npc1l1,0.05114645082099124,2.5282820281802287e-10,2.1854469851589894e-08,3060,0.5240023944076786,757
ENSMUSG00000024292,Cyp4f14,0.05109777517588639,2.582394298400459e-10,2.2101204272647097e-08,3605,0.7493983491586583,809
ENSMUSG00000067149,Jchain,0.050585147358604476,4.2637049446625497e-10,3.613280935457164e-08,6752,2.1849033423737,1005
ENSMUSG00000068547,Clca4a,0.050551461118795195,4.3495007595595325e-10,3.66800825030562e-08,6887,1.1571354465355361,875
ENSMUSG00000062825,Actg1,0.05051347327892828,4.694837851815237e-10,3.940017319523389e-08,16173,3.328658647920977,1063
ENSMUSG00000019254,Ppp1r12c,0.05025851344367721,3.7179437306633645e-10,3.166296119000406e-08,634,0.09365685598339886,384
ENSMUSG00000037742,Eef1a1,0.050255492685566505,5.596969554488851e-10,4.607638555143012e-08,10293,2.526009266138504,1024
ENSMUSG00000031328,Flna,0.0502186533796502,5.525258028882263e-10,4.570366545613233e-08,4310,0.7322433689635268,790
ENSMUSG00000040385,Ppp1ca,0.05009139281737382,5.928644242203518e-10,4.8575545810054223e-08,2496,0.38127981814450496,734
ENSMUSG00000054312,Mrps21,0.049826506484579834,4.736830927498659e-10,3.956054737903227e-08,1114,0.22688074230363944,531
ENSMUSG00000030725,Lipt2,0.04975195399348602,1.3322676295501878e-15,2.0564502481842542e-13,43,0.03463228561392816,42
ENSMUSG00000021606,Ndufs6,0.04956317662704109,8.160538911283766e-10,6.561832404570871e-08,2082,0.2994931161279746,664
ENSMUSG00000048186,Bend7,0.04945375144938048,1.6932677482373037e-11,1.752886995899791e-09,134,0.022490793821060753,116
ENSMUSG00000034127,Tspan8,0.049432408023411124,1.0154184160171553e-09,8.052547511974579e-08,5819,1.2775375746277398,929
ENSMUSG00000029309,Sparcl1,0.04942578030745015,7.531815171546441e-10,6.113146511065486e-08,1157,0.18374996257307627,487
ENSMUSG00000043501,Lgals2,0.04927167386851912,1.182884012962404e-09,9.29531764367911e-08,7940,2.0633545744618806,1004
ENSMUSG00000026817,Ak1,0.04925560879006825,2.542679400363568e-10,2.1869572872380775e-08,49,0.005269197924127609,46
ENSMUSG00000085589,A430078I02Rik,0.04920349392146574,1.3817835764484698e-12,1.6140725993000773e-10,4,0.0006599050508754288,4
ENSMUSG00000052415,Tchh,0.04898038149119575,2.6770141658971625e-11,2.690710517443613e-09,8,0.0006384235169242844,8
ENSMUSG00000048814,Lonrf2,0.048959778373638456,2.3092638912203256e-14,3.2195608186626605e-12,4,0.0003019636499221824,3
ENSMUSG00000070493,Chchd2,0.04890360935129816,1.5066905501015526e-09,1.1733182986556596e-07,5236,1.0836888540149834,874
ENSMUSG00000035674,Ndufa3,0.04889210951694881,1.4638301681912935e-09,1.1450993641489178e-07,3204,0.5701886315352847,769
ENSMUSG00000038690,Atp5j2,0.04885372976208697,1.6053500750956573e-09,1.2445422465584628e-07,7948,1.5958477514297504,945
ENSMUSG00000020372,Rack1,0.04871761618662924,1.7262908880155692e-09,1.3323266460720161e-07,5537,1.1387184714651004,902
ENSMUSG00000028024,Enpep,0.048494361758313925,1.929182591453582e-09,1.4822981618244234e-07,3824,0.8159745133990894,824
ENSMUSG00000028691,Prdx1,0.04831660398301362,2.378741648101368e-09,1.8116161062720903e-07,6703,1.444109347092709,950
ENSMUSG00000035852,Misp,0.048177138088401454,2.5469930609034463e-09,1.9312463174078414e-07,4299,0.8665101294923464,854
ENSMUSG00000020733,Slc9a3r1,0.04801553008347782,3.0012134999424234e-09,2.236421508060544e-07,7173,1.388222223414747,917
ENSMUSG00000058600,Rpl30,0.048005812365162576,2.804465548678081e-09,2.107982626328116e-07,3877,0.8199795641935667,809
ENSMUSG00000059070,Rpl18,0.04787500877917999,3.215576693804678e-09,2.3756790548074903e-07,3807,0.671647386108102,804
ENSMUSG00000027552,E2f5,0.047829919183078565,1.4937828751726556e-11,1.555693876264149e-09,111,0.022086028863874764,101
ENSMUSG00000050708,Ftl1,0.04770391624474816,3.5971987610849965e-09,2.6463137098569113e-07,4455,0.8433210837776008,823
