Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000061273,Mmgt1,0.007924718276832977,0.2401016463896477,0.6109058745585575,382,0.09811786549480161,300
ENSMUSG00000030447,Cyfip1,0.007922810772181177,0.24728987755945964,0.6229789986207536,1139,0.2560235874958764,678
ENSMUSG00000032485,Scap,0.007921668622040166,0.2379664261651313,0.606946268627989,613,0.1547024453396478,427
ENSMUSG00000055150,Zfp78,0.007921167661860375,0.22677089628778213,0.5875243775990884,13,0.0009263031902217527,13
ENSMUSG00000035847,Ids,0.007918134591509063,0.2430988937507883,0.6157569945281788,626,0.13997600437180102,445
ENSMUSG00000024370,Cdc23,0.007912323390062335,0.22821725283992134,0.5904609000187132,252,0.06200258509152873,220
ENSMUSG00000067297,Ifit1bl2,0.007908822359823486,0.2411040337143573,0.6128391181159992,576,0.1773603650309918,415
ENSMUSG00000029126,Nsg1,0.007902920812823013,0.2449316195715192,0.6190348838497592,141,0.015321338721198181,117
ENSMUSG00000022763,Aifm3,0.007902115843857202,0.09641343342547404,0.31262923276677296,7,0.001090194877095873,7
ENSMUSG00000069806,Cacng7,0.007901801192982684,0.23452876886504592,0.6012584734248358,23,0.0030139114110130246,23
ENSMUSG00000021179,Nrde2,0.00789555371463886,0.24668584363417567,0.6222881261408103,267,0.035663163777829916,225
ENSMUSG00000026134,Prim2,0.007894480931748028,0.22862351299193184,0.5909865406702242,78,0.012491964739766017,76
ENSMUSG00000029672,Fam3c,0.007893222296364794,0.2498763031069724,0.6280692637971842,1703,0.3969470921582819,825
ENSMUSG00000045534,Kcna5,0.00789110750345807,0.2284622615215115,0.5908517561197095,42,0.004648420772849776,41
ENSMUSG00000066861,Oas1g,0.007890385233252178,0.2366704840677738,0.6050312103881349,174,0.054865002295888116,148
ENSMUSG00000013367,Iglon5,0.007890170589692854,0.2075637402379491,0.5545959442656305,44,0.006217709063588994,44
ENSMUSG00000060548,Tnfrsf19,0.007889633295490459,0.24039646850480634,0.6114520691605522,65,0.007463726474459354,62
ENSMUSG00000055319,Sec23ip,0.007888263365916127,0.24464962527603928,0.6185829508113563,467,0.09978119315048266,366
ENSMUSG00000050954,Zfp169,0.007887520006392161,0.2142274915112572,0.5664599968225773,13,0.0012083987465543963,13
ENSMUSG00000090272,Mndal,0.007885870451125439,0.23837406333298583,0.6075753344630703,177,0.03869037575230811,157
ENSMUSG00000109644,0610005C13Rik,0.007880212513660188,0.24828882084839954,0.6250003669481138,720,0.16233336695672523,517
ENSMUSG00000100213,Gm28151,0.00787798462496173,0.2261582277449976,0.5863395986974939,16,0.0015833086979475004,15
ENSMUSG00000035095,Fam167a,0.007877466733903622,0.22129169134926174,0.5778436216424501,47,0.009817008490284216,45
ENSMUSG00000097216,4932441J04Rik,0.00787510290431954,0.19259565589416594,0.5259171390835047,16,0.0019216874493093615,16
ENSMUSG00000073002,Vamp5,0.007873877611545425,0.24424983032116065,0.6182092620160939,282,0.05269240070133191,240
ENSMUSG00000036466,Megf11,0.007873766299988243,0.17565085570512107,0.49097949684917375,26,0.005685991017575449,26
ENSMUSG00000047497,Adamts12,0.007873693891727393,0.2146722106351775,0.5670796503535159,75,0.013350448846822275,73
ENSMUSG00000053846,Lipg,0.007872851257779723,0.2185605589551205,0.5736568628354665,33,0.004467781431730867,31
ENSMUSG00000033032,Afap1l1,0.007872731532493819,0.23333747583231235,0.5991080189794397,148,0.027486113611649654,130
ENSMUSG00000017307,Acot8,0.007871221563156111,0.2445758640617215,0.6185694962147891,618,0.1558787271900088,468
ENSMUSG00000057554,Lgals8,0.007868543140839707,0.250702862027431,0.6293922703027668,880,0.19086918978385675,573
ENSMUSG00000029238,Clock,0.007862791727788372,0.24841283285902338,0.6250569066831461,593,0.114300045382903,438
ENSMUSG00000070565,Rasal2,0.007862726921781128,0.23214105995122392,0.5970109936240485,132,0.025191351645810493,124
ENSMUSG00000013787,Ehmt2,0.007861467335710868,0.2524988183760233,0.6328065086913512,2329,0.5762351970853714,960
ENSMUSG00000038894,Irs2,0.007858149821623825,0.2378171606086208,0.606712096544766,446,0.0965005820526349,361
ENSMUSG00000029072,Tas1r3,0.007855909969633552,0.19553021219442135,0.5320057064018077,22,0.0030307454334993138,22
ENSMUSG00000027770,Dhx36,0.007854737802603868,0.24495777359867743,0.6190348838497592,446,0.09403727167565985,351
ENSMUSG00000025192,Entpd7,0.0078537005898159,0.2412851481377989,0.6129542705735028,401,0.10005031763517934,306
ENSMUSG00000046908,Ltb4r1,0.007853462010564182,0.24448874890490946,0.6184821293855391,192,0.03916476047677412,175
ENSMUSG00000032897,Nfyc,0.007844456626566848,0.25041376789576697,0.6291018737293586,893,0.21311617225133106,593
ENSMUSG00000022848,Slc49a4,0.007844027148316241,0.25141157892458543,0.6306133531411238,891,0.16646373246157775,575
ENSMUSG00000044676,Zfp612,0.007841650460685001,0.23102450021511722,0.5951128047179587,52,0.0071372423597719755,51
ENSMUSG00000020536,Llgl1,0.007840989034062149,0.24563332176471553,0.6203794871340406,354,0.06689606906268637,283
ENSMUSG00000098318,Lockd,0.007840250841357666,0.2332921448842047,0.5990731466820983,251,0.09147418736959591,218
ENSMUSG00000029578,Wipi2,0.007839882480713238,0.2520354295224565,0.631813009121726,1158,0.24771856571426418,690
ENSMUSG00000113425,Gm48653,0.007838457314644992,0.1652422316855875,0.4706348180642038,4,0.00042783885674428255,4
ENSMUSG00000045996,Polr2k,0.007834788666366357,0.2517179159464895,0.6311847649161875,993,0.2022465173679362,598
ENSMUSG00000023118,Sympk,0.007833231031031417,0.2493154008778471,0.6269935091515523,680,0.13149809551105196,474
ENSMUSG00000021460,Auh,0.007825615296767051,0.25264716987866476,0.6330101511672453,509,0.08743848596370246,371
ENSMUSG00000017548,Suz12,0.007822838864696351,0.24115376819181167,0.6128391181159992,477,0.15809625039750366,370
ENSMUSG00000065990,Aurkaip1,0.00782104247220134,0.25328289610764143,0.6340977798401335,1179,0.2492106120539696,674
ENSMUSG00000032436,Cmtm7,0.007818227058235207,0.22471344843606245,0.583867275579109,232,0.04140918530964066,186
ENSMUSG00000028552,Eps15,0.00781713626744926,0.24644534854911493,0.6218477242275007,665,0.17812623521473164,490
ENSMUSG00000035109,Shc4,0.007817093478269106,0.23404812435530897,0.6004424280707444,33,0.004712867891711763,31
ENSMUSG00000030452,Nipa2,0.007813210156060244,0.25400820466513574,0.6355762914502647,1296,0.25774726214133714,731
ENSMUSG00000033111,3830406C13Rik,0.007813145647469258,0.2514721547116028,0.6306523241963361,434,0.08279024646005917,348
ENSMUSG00000015013,Trappc2l,0.007812863484293157,0.2544297803861335,0.6363779859631433,1299,0.2935680585952037,709
ENSMUSG00000029439,Sfswap,0.007811429582574363,0.24971044200715098,0.6277359885735321,770,0.1882899002630358,524
ENSMUSG00000062944,9130023H24Rik,0.007810439258502415,0.2412965351539551,0.6129542705735028,74,0.011734782458122206,71
ENSMUSG00000026781,Acbd5,0.007809226674620569,0.25130518607524044,0.6306133531411238,627,0.12164738077287042,463
ENSMUSG00000022797,Tfrc,0.007808166245873096,0.2547894169304974,0.6367577769864401,1547,0.39856003473318874,820
ENSMUSG00000047842,Diras2,0.007805234893208217,0.2154917644408727,0.5687268130054624,161,0.0300771642412332,134
ENSMUSG00000028893,Sesn2,0.007803450339670047,0.24885874910091643,0.6260119633095843,241,0.04230794515516309,215
ENSMUSG00000018189,Uchl5,0.007801889087687297,0.2464151117955813,0.6218477242275007,471,0.11081738475116877,355
ENSMUSG00000074284,Gm10658,0.007797338719849782,0.16439781963247557,0.4690794584371967,10,0.0012773845291456107,10
ENSMUSG00000054519,Zfp867,0.007794482608324262,0.2250728880543973,0.5845699001649584,55,0.009080199366653026,53
ENSMUSG00000029190,D5Ertd579e,0.007788395030309371,0.2507643302495919,0.6294628372328787,634,0.1286150300253932,451
ENSMUSG00000004032,Gstm5,0.007787434372772181,0.25043130481105136,0.6291018737293586,724,0.17616191907949036,496
ENSMUSG00000014668,Chfr,0.007787046706265492,0.25406248563739675,0.6356278230564889,1003,0.2258077322765224,630
ENSMUSG00000041859,Mcm3,0.007785394428659687,0.24829099319746994,0.6250003669481138,252,0.04259216054019643,222
ENSMUSG00000078945,Naip2,0.00778367814141817,0.25054111166778226,0.6291018737293586,431,0.07794087194930549,353
ENSMUSG00000078942,Naip6,0.007782422415601086,0.25557858480084517,0.6384051253120396,679,0.1627861522391922,493
ENSMUSG00000028426,Rad23b,0.007782075674685884,0.2570012027526847,0.6411099543548926,1782,0.39401479507759923,864
ENSMUSG00000025413,Ttc4,0.007777357315997802,0.25625090002720885,0.6397457306977248,796,0.17476203526556625,548
ENSMUSG00000024065,Ehd3,0.007777164060808889,0.23707661117389,0.6058232091332788,108,0.019873362711003803,104
ENSMUSG00000024477,Pggt1b,0.007772954563168357,0.24736251761889738,0.6230788072288045,284,0.0657822935320834,237
ENSMUSG00000015474,Ppt2,0.007770160916576753,0.2542518367831379,0.6360172223599402,577,0.08861155927683821,401
ENSMUSG00000031257,Nox1,0.007768773915990509,0.23465299688910335,0.6012584734248358,19,0.0022551904925529323,19
ENSMUSG00000024242,Map4k3,0.007766791908690054,0.2566104953332773,0.6403892919512775,1077,0.2178566739266029,654
